name,description,audio,artist,sc_suffix_url,duration_str,id,view_count,duration,timestamp,sp_suffix_url,date,words,sentences,words_min,sentences_min,wav,transcribed
28-06-2020 - Mateus 6.1-4,,28-06-2020 - Mateus 6.1-4 [856670638].opus,Reverendo Bruno Melo,28-06-2020-mateus-61-4,44:10,856670638,72,2650.749,1594569117,30vqSxith23D2kgm0f0gQb,2020-06-28,392.0,56.0,8.87312450555532,1.26758921507933,False,False
14-08-2022 - EBD - 1 Samuel 17.31-47,1 Samuel 17.31-47 por Pastor Solanki,14-08-2022 - EBD - 1 Samuel 17.31-47 [1324616206].opus,Pastor Solanki,14-08-2022-ebd-1-samuel-1731-47,1:04:08,1324616206,45,3848.908,1660581768,3v4qPxmliOwRas2DGlRLCl,2022-08-14,5721.0,635.0,89.1846873378581,9.89901703540289,False,False
17-03-2024 - Efésios 5.22-33 - O casamento diante da Cruz,Efésios 5.22-33 por Pastor Bruno Melo,17-03-2024 - Efésios 5.22-33 - O casamento diante da Cruz [1782876261].opus,Reverendo Bruno Melo,17-03-2024-efesios-522-33-o-casamento-diante-da-cruz,48:25,1782876261,55,2905.051,1711239516,5uelMyL9JpMVzHCmBHcg7n,2024-03-17,4603.0,310.0,95.0698152820133,6.40270317997482,False,False
20-02-2022 - 2 Timóteo 2.15,2 Timóteo 2.15 por Reverendo Edson Costa,20-02-2022 - 2 Timóteo 2.15 [1231778776].opus,Reverendo Edson Costa,20-02-2022-2-timoteo-215,39:21,1231778776,61,2361.104,1647220547,4q0ShxKIRzPgWA70AKmdtf,2022-02-20,3936.0,293.0,100.0230829015,7.4458240066411,True,True
17-09-2021 - A Lei Moral e a Vida Cristã - Piedade e Não Legalismo (1),III Conferência Peregrinos - A Lei Moral e a Vida Cristã - Piedade e Não Legalismo por Pastor Alan Kleber,17-09-2021 - A Lei Moral e a Vida Cristã - Piedade e Não Legalismo (1) [1170140155].opus,Pastor Alan Kleber,17-09-2021-a-lei-moral-e-a-vida-crista-piedade-e-nao-legalismo-1,1:02:39,1170140155,58,3759.229,1638398114,1PR7EQBy9nxeCjlQlqxMS5,2021-09-17,6412.0,411.0,102.341168618461,6.55992206833864,True,True
29-10-2023 - EBD - Atos 10.1-23,Atos 10.1-23 por Seminarista Fabrício Zamboni,29-10-2023 - EBD - Atos 10.1-23 [1674363231].opus,Seminarista Fabrício Zamboni,29-10-2023-ebd-atos-101-23,1:02:37,1674363231,41,3757.845,1700921816,6tx09bsCDkxVYbbe99sCqt,2023-10-29,6589.0,432.0,105.205145243189,6.89765104644977,True,True
06-08-2023 - EBD - Judas - Parte I,Carta de Judas por Seminarista Fabrício Zamboni,06-08-2023 - EBD - Judas - Parte I [1585047647].opus,Seminarista Fabrício Zamboni,06-08-2023-ebd-judas-1-4,54:18,1585047647,39,3258.436,1691345076,2rtRowBO20xQTxnn06DM6h,2023-08-06,5735.0,358.0,105.604366330836,6.59221676485428,True,True
05-09-2021 - Eclesiastes 3.1-2a,Eclesiastes 3.1-2a por Pastor Lucas Antunes,05-09-2021 - Eclesiastes 3.1-2a [1120415719].opus,Pastor Lucas Antunes,05-09-2021-eclesiastes-31-2a,34:21,1120415719,94,2061.009,1631027331,6BxU92TVyhRfKf96ufBo9i,2021-09-05,3663.0,303.0,106.639262055142,8.82110193904124,True,True
09-06-2024 - EBD - CFW 2 -Autossuficiência de Deus,CFW - Capítulo 2 -Autossuficiência de Deus por Seminarista Fabrício Zamboni,09-06-2024 - EBD - CFW 2 -Autossuficiência de Deus [1855434897].opus,Seminarista Fabrício Zamboni,09-06-2024-ebd-cfw-capitulo-2-autossuficiencia-de-deus,52:07,1855434897,25,3127.589,1719190604,0aSx7jQnVzNFbrwiYWVuaW,2024-06-09,5573.0,394.0,106.914221145342,7.55862248901218,True,True
13-08-2023 - EBD - Judas - Parte II,Carta de Judas por Seminarista Fabrício Zamboni,13-08-2023 - EBD - Judas - Parte II [1606658214].opus,Seminarista Fabrício Zamboni,13-08-2023-ebd-judas-5-25,49:27,1606658214,37,2967.876,1693662993,6WzIC9z98JjEYL85MUa37H,2023-08-13,5296.0,316.0,107.068199370044,6.38851038537274,True,True
17-09-2023 - EBD - Judas - Parte III,Judas - Parte III por Seminarista Fabrício Zamboni,17-09-2023 - EBD - Judas - Parte III [1618711698].opus,Seminarista Fabrício Zamboni,17-09-2023-ebd-judas-parte-iii,1:01:53,1618711698,34,3713.384,1695000871,1C06t0MNTzLLg5i01LArQd,2023-09-17,6640.0,405.0,107.288711390943,6.543965077309,True,True
"08-09-2024 - EBD - CFW 7 - Do pacto de Deus com o homem - ""Pacto de Obras""","CFW 7 - Do pacto de Deus com o homem - ""Pacto de Obras"" por Seminarista Fabrício Zamboni",08-09-2024 - EBD - CFW 7 - Do pacto de Deus com o homem - ＂Pacto de Obras＂ [1929127214].opus,Seminarista Fabrício Zamboni,08-09-2024-ebd-cfw-7-do-pacto-de-deus-com-o-homem-pacto-de-obras,50:27,1929127214,15,3027.54,1728086348,04ogrnWgBMAhqmAeNoVzxr,2024-09-08,5423.0,396.0,107.474459209053,7.84803353250691,True,True
31-12-2023 - EBD - Atos 15.1-6,Atos 15.1-6 por Seminarista Fabrício Zamboni,31-12-2023 - EBD - Atos 15.1-6 [1706566149].opus,Seminarista Fabrício Zamboni,31-12-2023-ebd-atos-151-6,50:45,1706566149,44,3045.825,1704243962,1GkQHcECEdLYJCdbTjtEmN,2023-12-31,5465.0,333.0,107.657081169959,6.55989167970656,True,True
28-11-2021 - Eclesiastes 3.3b-5,Eclesiastes 3.3b-5 por Pastor Lucas Antunes,28-11-2021 - Eclesiastes 3.3b-5 [1176587521].opus,Pastor Lucas Antunes,28-11-2021-eclesiastes-33b-5,39:02,1176587521,46,2342.243,1639328594,2o82o8k7A0OorO959ADYKn,2021-11-28,4210.0,355.0,107.84700071343,9.09398699602554,True,True
02-06-2024 - EBD - CFW 2 -  De Deus e da Santíssima Trindade II,CFW - Capítulo 2 -  De Deus e da Santíssima Trindade II por Seminarista Fabrício Zamboni,02-06-2024 - EBD - CFW 2 -  De Deus e da Santíssima Trindade II [1837930761].opus,Seminarista Fabrício Zamboni,02-06-2024-ebd-cfw-capitulo-2-de-deus-e-da-santissima-trindade-ii,58:43,1837930761,26,3523.082,1717546953,5j6NLLeCZZVda7ZQnTCBCM,2024-06-02,6337.0,446.0,107.923746602014,7.5957063254692,True,True
10-10-2021 - Eclesiastes 3.2b-3a,Eclesiastes 3.2b-3a por Pastor Lucas Antunes,10-10-2021 - Eclesiastes 3.2b-3a [1164188455].opus,Pastor Lucas Antunes,10-10-2021-eclesiastes-32b-3a,36:01,1164188455,48,2161.11,1637517466,0GsaPi192OqQzKrs9fPyUY,2021-10-10,3888.0,305.0,107.946576439716,8.46803133079046,True,True
26-11-2023 - EBD - Atos 12,Atos 12 por Seminarista Fabrício Zamboni,26-11-2023 - EBD - Atos 12 [1687317075].opus,Seminarista Fabrício Zamboni,26-11-2023-ebd-atos-12,57:55,1687317075,41,3475.513,1702256092,3GJc7OoFJPmeYPzwyiY0c7,2023-11-26,6269.0,417.0,108.226901868981,7.19901389047141,True,True
20-06-2021 - Eclesiastes 2.12-17,Eclesiastes 2.112-17 por Pastor Lucas Antunes,20-06-2021 - Eclesiastes 2.12-17 [1076522902].opus,Pastor Lucas Antunes,20-06-2021-eclesiastes-212-17,35:15,1076522902,87,2115.004,1624723036,2Vsw9Q49wcPsM23SEhRsyV,2021-06-20,3818.0,286.0,108.313849165353,8.11360944507356,True,True
07-01-2024 - EBD - Atos 15.7-41,Atos 15.7-41 por Seminarista Fabrício Zamboni,07-01-2024 - EBD - Atos 15.7-41 [1710985782].opus,Seminarista Fabrício Zamboni,07-01-2024-ebd-atos-157-41,1:01:59,1710985782,63,3719.419,1704653936,1HxjM80fROoJzwtG5ol8Nl,2024-01-07,6744.0,398.0,108.792413353097,6.42043008815724,True,True
15-10-2023 - EBD - Atos 9.32-43,Atos 9.32-43 por Seminarista Fabrício Zamboni,15-10-2023 - EBD - Atos 9.32-43 [1641482028].opus,Seminarista Fabrício Zamboni,15-10-2023-ebd-atos-932-43,54:21,1641482028,36,3261.649,1697416204,7Mxonfoa2HsdjP4I8jzZZQ,2023-10-15,5938.0,425.0,109.234764911321,7.81825110934851,True,True
"16-06-2024 - EBD - CFW 2 - ""Deleitando-se na Trindade ""","CFW - Capítulo 2 -""Deleitando-se na Trindade "" por Seminarista Fabrício Zamboni",16-06-2024 - EBD - CFW 2 - ＂Deleitando-se na Trindade ＂ [1855440861].opus,Seminarista Fabrício Zamboni,16-06-2024-ebd-cfw-capitulo-2-deleitando-se-na-trindade,58:15,1855440861,19,3495.889,1719191806,2c7XuQNvtj5ketSbzErYJF,2024-06-16,6391.0,464.0,109.689747301093,7.96370564038606,True,True
13-11-2020 - Igreja de Cristo no Antigo Testamento (1),II Conferência Peregrinos - Primeira palestra sobre a Igreja de Cristo no Antigo Testamento por Reverendo Paulo Brasil,13-11-2020 - Igreja de Cristo no Antigo Testamento (1) [929287963].opus,Reverendo Paulo Brasil,13-11-2020-igreja-de-cristo-no-antigo-testamento-1,48:45,929287963,77,2925.061,1605379028,6Zn80d5plyeLtgT8sCdyou,2020-11-13,5357.0,382.0,109.886315423845,7.83583582077816,True,True
10-09-2023 - Hebreus 11.8-13 - Contemplando o nosso lar,Hebreus 11.8-13 por Seminarista Fabrício Zamboni,10-09-2023 - Hebreus 11.8-13 - Contemplando o nosso lar [1613154825].opus,Seminarista Fabrício Zamboni,10-09-2023-hebreus-118-13-contemplando-o-nosso-lar,45:12,1613154825,40,2712.059,1694392907,1aG1xZtSDq26qgrvFx1ky4,2023-09-10,4968.0,344.0,109.910491238097,7.61054931278288,True,True
15-09-2024 - Salmos 63.1-3,Salmos 63.1-3 por Pr. Lucas Antunes,15-09-2024 - Salmos 63.1-3 [1929134126].opus,Pastor Lucas Antunes,15-09-2024-salmos-631-3,56:29,1929134126,18,3389.544,1728087872,0Bqa2zisfY2PPVuAyYkO6S,2024-09-15,6303.0,493.0,111.57364928854,8.72692513077111,True,True
18-02-2024 - EBD - Atos 18.1-11,Atos 18.1-11 por Seminarista Fabrício Zamboni,18-02-2024 - EBD - Atos 18.1-11 [1750735278].opus,Seminarista Fabrício Zamboni,18-02-2024-ebd-atos-181-11,1:02:19,1750735278,42,3739.011,1708280684,5yDf7kzzvUNkVrcjgnWaUH,2024-02-18,6961.0,487.0,111.704679849991,7.81499484081963,True,True
24-09-2023 - EBD - Judas - Parte IV,Judas - Parte IV por Seminarista Fabrício Zamboni,24-09-2023 - EBD - Judas - Parte IV [1625787492].opus,Seminarista Fabrício Zamboni,24-09-2023-ebd-judas-parte-iv,1:01:14,1625787492,29,3674.044,1695729941,2Kte8jZ5QtuFa1gZggPCBR,2023-09-24,6850.0,458.0,111.866657122164,7.47955167327751,True,True
24-03-2024 - EBD - Atos 20.1-19,Atos 20.1-16 por Seminarista Fabrício Zamboni,24-03-2024 - EBD - Atos 20.1-19 [1789199755].opus,Seminarista Fabrício Zamboni,24-03-2024-ebd-atos-201-19,1:00:14,1789199755,35,3614.328,1711909514,4MneNWGvMsmqo4VhyMnsAZ,2024-03-24,6743.0,418.0,111.938657018328,6.93910108759619,True,True
18-12-2022 - EBD - Sola Scriptura,Sola Scriptura por Fabrício Zamboni,18-12-2022 - EBD - Sola Scriptura [1420250629].opus,Seminarista Fabrício Zamboni,18-12-2022-ebd-sola-scriptura,1:03:43,1420250629,53,3823.595,1673304430,25986zVl6AR2qB7S64OeCA,2022-12-18,7142.0,455.0,112.073887375315,7.13996342141816,True,True
28-05-2023 - Lucas 12.13-21 - Avareza: a grande tragédia,Lucas 12.13-21 por Seminarista Fabrício Zamboni,28-05-2023 - Lucas 12.13-21 - Avareza： a grande tragédia [1543326001].opus,Seminarista Fabrício Zamboni,28-05-2023-lucas-1213-21-avareza-a-grande-tragedia,41:41,1543326001,39,2501.277,1687042133,08bJ0ZQFoXo7YKVD2Ehiag,2023-05-28,4701.0,306.0,112.767796530209,7.34034157375964,True,True
15-11-2020 - Igreja de Cristo no Antigo Testamento (4),II Conferência Peregrinos - Quarta palestra sobre a Igreja de Cristo no Antigo Testamento por Reverendo Paulo Brasil.,15-11-2020 - Igreja de Cristo no Antigo Testamento (4) [929785990].opus,Reverendo Paulo Brasil,15-11-2020-igreja-de-cristo-no-antigo-testamento-4,59:19,929785990,87,3559.549,1605462944,7LYksDI39dIcuWvkSbADY2,2020-11-15,6698.0,672.0,112.903402525577,11.3274240813956,True,True
18-10-2020 - Joel 2.28-32,Joel 2.28-32 por Rev. Charley Fernandes,18-10-2020 - Joel 2.28-32 [917455591].opus,Reverendo Charley Fernandes,18-10-2020-joel-228-32,41:37,917455591,84,2497.829,1603649489,64fRi4tukl5aZbmpdaQQFd,2020-10-18,4702.0,420.0,112.94802677251,10.088934760624,True,True
04-12-2022 - Eclesiastes 12,Eclesiastes 12 por Pastor Lucas Antunes,04-12-2022 - Eclesiastes 12 [1410701863].opus,Pastor Lucas Antunes,04-12-2022-eclesiastes-12,53:30,1410701863,62,3210.162,1672098154,7M7deAxafW9zbAvbNwKW2U,2022-12-04,6074.0,518.0,113.528395494003,9.68187501908027,True,True
11-08-2024 - João 6.60-71 - Quem você diz que é Jesus?,João 6.60-71 por Seminarista Fabrício Zamboni,11-08-2024 - João 6.60-71 - Quem você diz que é Jesus？ [1903802087].opus,Seminarista Fabrício Zamboni,11-08-2024-joao-660-71-quem-voce-diz-que-e-jesus,55:06,1903802087,22,3306.005,1724605189,3qKtOyNR1TGknP5hMAmMXa,2024-08-11,6257.0,448.0,113.558405354686,8.13076004457399,True,True
02-02-2020 - Gênesis 1.26,,02-02-2020 - Gênesis 1.26 [768756274].opus,Pastor Douglas Lima,02-02-2020-genesis-126,36:28,768756274,80,2188.852,1583023759,5zTFnjBWUIdV1hDxemTRI0,2020-02-02,4151.0,402.0,113.787233498201,11.0196260819747,True,True
15-09-2024 - EBD - CFW 7 - Do pacto de Deus com o homem - Parte II,CFW 7 - Do pacto de Deus com o homem - Parte II por Seminarista Fabrício Zamboni,15-09-2024 - EBD - CFW 7 - Do pacto de Deus com o homem - Parte II [1929130661].opus,Seminarista Fabrício Zamboni,15-09-2024-ebd-cfw-7-do-pacto-de-deus-com-o-homem-parte-ii,1:04:32,1929130661,16,3872.392,1728087097,1bYJu58TCpSM4fEvh6zFYC,2024-09-15,7371.0,482.0,114.209629132468,7.46832739680499,True,True
