title,name,full_name
Reverendo,Bruno Melo,Reverendo Bruno Melo
Presbítero,César Miranda,Presbítero César Miranda
Pastor,Lucas Antunes,Pastor Lucas Antunes
Presbítero,Humberto Elias,Presbítero Humberto Elias
Pastor,Ben-Hur,Pastor Ben-Hur
Reverendo,Paulo Brasil,Reverendo Paulo Brasil
Seminarista,Fabrício Zamboni,Seminarista Fabrício Zamboni
Pastor,Ricardo Toniolo,Pastor Ricardo Toniolo
Presbítero,Éder Júnior,Presbítero Éder Júnior
Presbítero,Marco Túlio,Presbítero Marco Túlio
Presbítero,João Marcus,Presbítero João Marcus
Pastor,Alan Kleber,Pastor Alan Kleber
Pastor,Solanki,Pastor Solanki
Seminarista,Israel Quaresma,Seminarista Israel Quaresma
Presbítero,Lucas Gibram,Presbítero Lucas Gibram
Pastor,André,Pastor André
Pastor,Milton Júnior,Pastor Milton Júnior
Pastor,Danilo,Pastor Danilo
Reverendo,Ludgero Neto,Reverendo Ludgero Neto
Reverendo,Edson Costa,Reverendo Edson Costa
Reverendo,Alan Rennê Alexandrino,Reverendo Alan Rennê Alexandrino
Pastor,Fillipe Mendes Cotta,Pastor Fillipe Mendes Cotta
Pastor,Raimundo Montenegro,Pastor Raimundo Montenegro
Reverendo,Charley Fernandes,Reverendo Charley Fernandes
Reverendo,Orebe Quaresma,Reverendo Orebe Quaresma
Reverendo,Gustavo Quintela,Reverendo Gustavo Quintela
Pastor,Douglas Lima,Pastor Douglas Lima
Reverendo,Daniel,Reverendo Daniel
